time_s,Vmem_mV,Goldman_Vmem_mV,NaK-ATPase_Rate_mol/m2s,cell_sodium_mmol/L,cell_potassium_mmol/L,cell_proteins_mmol/L,cell_anion_mmol/L,Dm_sodium_m2/s,Dm_potassium_m2/s,Dm_proteins_m2/s,Dm_anion_m2/s,I_A/m2,HydroP_Pa,OsmoP_Pa,Displacement_um
1.002865329512894104e-03,-4.504109371707163234e+01,0.000000000000000000e+00,1.106530937275104291e-07,1.188210756014541225e+01,1.391122928188567300e+02,1.350000000000000000e+02,1.601070580842992896e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,6.701461914339835975e-13,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.005730659025788207e-03,-4.463793431414247692e+01,0.000000000000000000e+00,1.106550089822327032e-07,1.188224072529248865e+01,1.391123075448865336e+02,1.350000000000000000e+02,1.601070775094858334e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,7.408434000380419732e-13,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.008595988538682094e-03,-4.418952456291735587e+01,0.000000000000000000e+00,1.106571654781778912e-07,1.188239093152195203e+01,1.391123216796879376e+02,1.350000000000000000e+02,1.601070976213906860e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,8.277308912067909581e-13,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.011461318051576415e-03,-4.368549846096770040e+01,0.000000000000000000e+00,1.106596177690243494e-07,1.188256205302817392e+01,1.391123351102204140e+02,1.350000000000000000e+02,1.601071185053500301e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,9.351155236138020048e-13,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.014326647564470302e-03,-4.311190330820156902e+01,0.000000000000000000e+00,1.106624384709964448e-07,1.188275929188900193e+01,1.391123476961003007e+02,1.350000000000000000e+02,1.601071402678158151e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,1.070789201713473405e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.017191977077364189e-03,-4.244906158117122175e+01,0.000000000000000000e+00,1.106657292910973408e-07,1.188298996479848668e+01,1.391123592577258421e+02,1.350000000000000000e+02,1.601071630446587690e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,1.246991064592179006e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.020057306590258075e-03,-4.166809494654518886e+01,0.000000000000000000e+00,1.106696383934913475e-07,1.188326478212455939e+01,1.391123695568996936e+02,1.350000000000000000e+02,1.601071870144690124e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,1.483785645731694316e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.022922636103152830e-03,-4.072450521141402646e+01,0.000000000000000000e+00,1.106743921639266120e-07,1.188360020728378252e+01,1.391123782634514612e+02,1.350000000000000000e+02,1.601072124207816572e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,1.816127512559337723e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.025787965616045849e-03,-3.954534373772663969e+01,0.000000000000000000e+00,1.106803580439789274e-07,1.188402316752134880e+01,1.391123848932541023e+02,1.350000000000000000e+02,1.601072396117439922e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,2.309770527884772658e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.002865329512894060e-02,-3.800096364522892856e+01,0.000000000000000000e+00,1.106881811161653142e-07,1.188458141476112573e+01,1.391123886811275554e+02,1.350000000000000000e+02,1.601072691171553686e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,3.101209933585902343e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.103151862464183536e-02,-3.583471736627989657e+01,0.000000000000000000e+00,1.106991187273508136e-07,1.188536929137473486e+01,1.391123882821331961e+02,1.350000000000000000e+02,1.601073018156115779e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,4.512414666004757814e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.203438395415472838e-02,-3.245956335140625981e+01,0.000000000000000000e+00,1.107159912507283871e-07,1.188660226114365948e+01,1.391123809135090994e+02,1.350000000000000000e+02,1.601073393547592616e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,7.433765511223207116e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.303724928366762313e-02,-2.629190605616388865e+01,0.000000000000000000e+00,1.107462774880326209e-07,1.188886161355621596e+01,1.391123589356164132e+02,1.350000000000000000e+02,1.601073854226164883e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,1.462507041109162589e-11,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.404011461318051615e-02,-1.373909728473587499e+01,0.000000000000000000e+00,1.108083782577450883e-07,1.189348612872597855e+01,1.391122851311828583e+02,1.350000000000000000e+02,1.601074498196330609e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,2.786234564720771919e-11,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
