x [um],y [um],Vmem [mV]
6.917739070370774357e+01,1.622583896245848933e+01,-9.584820561777968040e-01
8.461243531969552123e+01,1.497577740962555914e+01,-9.676100773158121671e-01
1.020676991871004162e+02,1.584317859377547322e+01,-8.835833043115446372e-01
5.134558447485542132e+01,2.478396407854150496e+01,-1.068136609419403582e+00
6.811499972904363176e+01,2.350128037708361006e+01,-1.030320741098088799e+00
8.472605077259932216e+01,2.350181759190728314e+01,-9.640023949570210027e-01
1.020571886498401852e+02,2.418487363073122509e+01,-8.486324521838957136e-01
3.517851749591423527e+01,3.445750393729391448e+01,-1.047309066771476838e+00
5.018525535117085923e+01,3.307944284157636616e+01,-1.096449029501085581e+00
6.766863807957483345e+01,3.275554371890147110e+01,-1.035511774170659205e+00
8.495271893764605409e+01,3.276174626007183122e+01,-8.770141557909585384e-01
1.021235792835748839e+02,3.345973311080286550e+01,-6.745296751319820316e-01
3.315758150280594663e+01,4.286579953719629543e+01,-1.108693096940597034e+00
5.076450867123995181e+01,4.245704360628719343e+01,-1.101323590535776775e+00
6.794779416539155648e+01,4.207677052040268961e+01,-9.732650616894991114e-01
8.491465008994686059e+01,4.208185800786003483e+01,-6.774562704654818468e-01
1.018927401184119361e+02,4.290942724040020551e+01,-3.230318184536368209e-01
1.935324077476901294e+01,5.391041158248595622e+01,-1.066296834528392079e+00
3.409663128077401240e+01,5.223537405947134005e+01,-1.127720977180688422e+00
5.095079124844692586e+01,5.179382242253447544e+01,-1.080109258541284811e+00
6.790919956633975119e+01,5.156272020717114657e+01,-8.502368738963015371e-01
8.476318750291436288e+01,5.164387144554277143e+01,-3.506656279249177888e-01
1.018601029429176492e+02,5.237041058087813639e+01,1.464859329109867159e-01
1.367226663474333179e+02,5.156461145636889398e+01,4.111179856010960254e-01
1.702284740224376236e+01,6.219792695887051792e+01,-1.103591771459118576e+00
3.425495011419378244e+01,6.160894488490237109e+01,-1.134040069930041472e+00
5.104041159272812678e+01,6.139942015576818335e+01,-1.035519947355506121e+00
6.768718185136776810e+01,6.118245188867717843e+01,-6.776128423850911187e-01
8.463928875537591523e+01,6.106806211618158642e+01,3.490813426970887368e-02
1.022448411073830670e+02,6.169161082118061046e+01,1.506488454937571497e-01
1.195188220970539845e+02,6.132076687655690250e+01,-1.431639066902576696e+00
1.366733873662562360e+02,6.097122052600161624e+01,-3.183757100265832696e-01
1.511222927932370510e+02,6.218611954648247320e+01,1.843668473850965939e-01
1.645798605598134401e+01,7.085303538326623141e+01,-1.117287088135145767e+00
3.389191161757680959e+01,7.084773990027181867e+01,-1.132679521887938190e+00
5.102909465183989823e+01,7.102659104982707561e+01,-9.797415182985287352e-01
6.767703984311393128e+01,7.079007228392211459e+01,-4.751565306605388117e-01
8.501144126888810604e+01,7.032351741811201862e+01,3.180198758760284239e-01
1.024937913284139768e+02,7.103375241795681916e+01,-1.925248872698784641e+00
1.197295548898473072e+02,7.089789595275205158e+01,-8.178196816274743597e+00
1.365683103318199301e+02,7.082719987709906206e+01,-3.931160533173048588e+00
1.529597947675141825e+02,7.058968516257311876e+01,-3.803872908096231908e-01
1.550998123888688340e+01,7.952604193307384151e+01,-1.092592246719178872e+00
