x [um],y [um],Vmem [mV]
6.682105229861348050e+01,1.663963604424040810e+01,-4.549993035712451928e+01
8.494637457959717608e+01,1.605470792227242427e+01,-4.549567735087303788e+01
1.018573322761801876e+02,1.679150068951226515e+01,-4.548307436256937564e+01
5.065700583769645249e+01,2.429762127700793073e+01,-4.550853065215444815e+01
6.761476262156277528e+01,2.341316492874424071e+01,-4.550522296766457231e+01
8.513720858295779692e+01,2.342840625360588547e+01,-4.549651371102563502e+01
1.019161621845423298e+02,2.392970450222340872e+01,-4.548097528038722004e+01
1.201503281697488035e+02,2.496677622877145808e+01,-4.545754702148961712e+01
3.443395125464804352e+01,3.519770083710881892e+01,-4.550902388217047445e+01
5.089291201510567220e+01,3.309512408840252107e+01,-4.551035554663156546e+01
6.777305677674863205e+01,3.275883677993162024e+01,-4.550388498969173412e+01
8.469719552553124231e+01,3.290266067860773802e+01,-4.548748140678979723e+01
1.018089869120431956e+02,3.337200183516362273e+01,-4.545958069488239772e+01
1.191579068426357395e+02,3.298839304831498254e+01,-4.543307793297115182e+01
1.346956121559005055e+02,3.497889717313360336e+01,-4.540121919885709190e+01
3.432494021269459239e+01,4.363111179283308161e+01,-4.551113429856029313e+01
5.068968460226865602e+01,4.262687109657755258e+01,-4.550987991445130376e+01
6.746816064927303103e+01,4.224716867673340914e+01,-4.549724758429226767e+01
8.466945162483069964e+01,4.232852339236139017e+01,-4.546475300108826900e+01
1.020757294758796547e+02,4.269217064575833831e+01,-4.540696669929930351e+01
1.191191377335245960e+02,4.245735792241107731e+01,-4.535984559728665033e+01
1.364810549924837346e+02,4.249216068413611680e+01,-4.534019411488647222e+01
1.892351116603597205e+01,5.413898200189923671e+01,-4.550751418460757947e+01
3.348991682397861069e+01,5.223417686648575398e+01,-4.551239122338071041e+01
5.083194159156803948e+01,5.237365594693191184e+01,-4.550707719908112381e+01
6.747919066900387008e+01,5.174455500957406429e+01,-4.548436154865134995e+01
8.476362077464597178e+01,5.167373986798401830e+01,-4.542176560172222111e+01
1.021661359183494540e+02,5.203958238955785731e+01,-4.529613468936508269e+01
1.193578771514513619e+02,5.173188328684009463e+01,-4.519203640134759326e+01
1.365443292334086038e+02,5.161823209232048981e+01,-4.521527354636253193e+01
1.702637255210505529e+01,6.251981684122786476e+01,-4.551045604445243242e+01
3.364001623340146807e+01,6.150196437105918790e+01,-4.551251795577918813e+01
5.085184499624494947e+01,6.175065087672736297e+01,-4.550267321988193459e+01
6.778656198547544420e+01,6.150932830586801714e+01,-4.546352371117033186e+01
8.464798729068903071e+01,6.104999064992735924e+01,-4.535197887809970041e+01
1.021517851673985433e+02,6.138472392386426435e+01,-4.507712121654301285e+01
1.192726210732057268e+02,6.112926624129148223e+01,-4.479770231964305793e+01
1.365118569865990708e+02,6.088632294329670458e+01,-4.495896352939345775e+01
1.507212196120388796e+02,6.074744484605999162e+01,-4.511185676617735396e+01
1.664254008905086479e+01,7.156854461813298940e+01,-4.551165718637881241e+01
3.349860235086666194e+01,7.051487179362389668e+01,-4.551221857185074526e+01
5.068515948751922906e+01,7.110894902037237841e+01,-4.549748601752876453e+01
6.777993566744552822e+01,7.118038617404917545e+01,-4.543813795677468192e+01
8.485194859983157301e+01,7.058257254781820222e+01,-4.524541679929000537e+01
1.020630427210811888e+02,7.070519391543371057e+01,-4.468427275643514207e+01
1.192914890578334166e+02,7.056945219235883826e+01,-4.379912883018993597e+01
1.363783350910396734e+02,7.052958261534040219e+01,-4.443213454449728772e+01
1.523977221827059338e+02,7.009029404763050763e+01,-4.494029286051740257e+01
1.686370237648046810e+01,7.984311316788800639e+01,-4.551181770882408273e+01
3.368589125565188880e+01,7.991730448179791324e+01,-4.551155069229871231e+01
5.043841485455719464e+01,8.047715596933774407e+01,-4.549277725119735294e+01
6.778072162902903131e+01,8.059596721815434250e+01,-4.541257873213654506e+01
8.504831125506896683e+01,8.008571147352168396e+01,-4.511444241837314451e+01
1.020569867454130133e+02,8.015979594568273114e+01,-4.409276665261849359e+01
1.190994166470175486e+02,7.997642244277805901e+01,-4.083838555749759536e+01
1.363392187019897790e+02,7.995811335760571126e+01,-4.356740008430431743e+01
1.533026119134449630e+02,7.958662405415468299e+01,-4.475527988330320284e+01
1.742132535579710151e+01,8.972300397730712973e+01,-4.551364410847351394e+01
3.373659575734660621e+01,8.959111837850034021e+01,-4.551098085075051358e+01
5.057968110868013412e+01,8.981805385780894824e+01,-4.548889222813959776e+01
6.771820579291427578e+01,8.992355272285257684e+01,-4.539475242680696709e+01
8.503505450297065238e+01,8.954729885286570834e+01,-4.500494613180339343e+01
1.019327113376135969e+02,8.975111801171179593e+01,-4.336552303545698805e+01
1.188054171821561766e+02,8.944598673988308235e+01,-3.923971375089701041e+01
1.361857948082036955e+02,8.927714187902287790e+01,-4.282381152594797413e+01
1.527452228106350560e+02,8.924721648434311305e+01,-4.457411093070916053e+01
1.605777338275559529e+01,9.718660310465182306e+01,-4.551310757589528322e+01
3.357834322286902307e+01,9.918797865327579188e+01,-4.551059859599104129e+01
5.056783600528432743e+01,9.925971113765383791e+01,-4.548797999835833394e+01
6.784287443415455243e+01,9.925728237920472452e+01,-4.538944170273706646e+01
8.482473411496050630e+01,9.901193793800233323e+01,-4.498151535583547656e+01
1.018593795596894296e+02,9.931574977363681000e+01,-4.306412758604819402e+01
1.188439378481806159e+02,9.888897165973752124e+01,-3.887260341592486412e+01
1.361334292810781790e+02,9.862922129543065353e+01,-4.277135512874667000e+01
1.528238378849287358e+02,9.921581265993789600e+01,-4.455921931795858626e+01
1.711567005134352826e+01,1.082634073129491270e+02,-4.551064365075867357e+01
3.326882157866779011e+01,1.084581684768118066e+02,-4.551035407211358574e+01
5.055597666226658049e+01,1.085743811587376229e+02,-4.548988908243486406e+01
6.793248595281005464e+01,1.086142508845800734e+02,-4.540075766541269076e+01
8.493244208700484421e+01,1.085690458135680103e+02,-4.504944502356170943e+01
1.019641896135594124e+02,1.086967606226176457e+02,-4.362745066241791392e+01
1.191343409813967327e+02,1.083575320078325461e+02,-4.030009670861443993e+01
1.360276672657367669e+02,1.079510636256118090e+02,-4.342014214058646360e+01
1.520149337578651796e+02,1.089658558034390552e+02,-4.466683524589694088e+01
1.881824381610392649e+01,1.170511314663085187e+02,-4.550752597589342940e+01
3.301231024345440801e+01,1.182016402963535029e+02,-4.550994021117251265e+01
5.066744563161068982e+01,1.178171644733400427e+02,-4.549349325175347047e+01
6.782190514205888121e+01,1.180219498096101063e+02,-4.542490607290110916e+01
8.500913516383317869e+01,1.179824567398121928e+02,-4.517857828921511754e+01
1.021539942312968634e+02,1.181514061946265599e+02,-4.445576345507382143e+01
1.192528964877933930e+02,1.176405445073379354e+02,-4.352085574539171375e+01
1.366967195752441455e+02,1.178224198082660905e+02,-4.435183730354348342e+01
1.501483294001667161e+02,1.175732542186461131e+02,-4.480317619416755548e+01
3.427821963658053761e+01,1.272070721603376882e+02,-4.550837096947724092e+01
5.078907442729270372e+01,1.273289295509543990e+02,-4.549761996530679653e+01
6.783686459532825097e+01,1.275049372721211256e+02,-4.545040665762348908e+01
8.500371302943466389e+01,1.273660788544879807e+02,-4.530264737232621997e+01
1.023308847758043783e+02,1.275500735308519893e+02,-4.496975376565310256e+01
1.192576687850833679e+02,1.271162181533374991e+02,-4.465455178947783565e+01
1.355496591366998587e+02,1.265887824967924473e+02,-4.480913153455470166e+01
3.456217894137245850e+01,1.365278482386344763e+02,-4.550634032199025825e+01
5.063397675312851476e+01,1.368609813748709030e+02,-4.550058514957309086e+01
6.782751784139156825e+01,1.370366510509661850e+02,-4.547105019933905368e+01
8.517556815640702439e+01,1.367991322739473503e+02,-4.538791246416791125e+01
1.024214182845711036e+02,1.370366331646878848e+02,-4.523523399245759435e+01
1.192944809620693718e+02,1.368573899612417222e+02,-4.509660346616157511e+01
1.355269162511308423e+02,1.356434990692617646e+02,-4.506025091995522303e+01
5.069352712348840839e+01,1.457413079353422916e+02,-4.550026318082037591e+01
6.771369767528867101e+01,1.464385502761458611e+02,-4.548309197541149729e+01
8.484856200746257571e+01,1.463410579589431961e+02,-4.543909235395663870e+01
1.024343118015648599e+02,1.467489416831532765e+02,-4.535935980796043054e+01
1.185078181583397452e+02,1.456187195683629341e+02,-4.525761113369549804e+01
6.774666967019824426e+01,1.551988383053713960e+02,-4.548559778721519820e+01
8.543471107643927098e+01,1.557242375034446979e+02,-4.545836421632851909e+01
1.011767019184534178e+02,1.554661520966266721e+02,-4.541143085475889052e+01
5.858073697939220636e+01,2.020973228208064043e+01,-4.550661878987617825e+01
7.615741741679180166e+01,1.846297404513854090e+01,-4.550232466383305052e+01
9.367046335939402013e+01,1.825957236522042848e+01,-4.549214105484747961e+01
1.110040637783494901e+02,2.104953361116172772e+01,-4.547510477267493201e+01
4.298644215999939178e+01,2.957581245104966428e+01,-4.550969555290450330e+01
5.921076413521736015e+01,2.858315794863280246e+01,-4.550835005500044872e+01
7.635122396570392311e+01,2.780200002945238680e+01,-4.550066031468682581e+01
9.335831218685549970e+01,2.818406079716557855e+01,-4.548448557056725150e+01
1.105556430220379553e+02,2.899904557766559421e+01,-4.546085685362354667e+01
1.282350738687673299e+02,2.999877273786409759e+01,-4.543202762702568265e+01
2.728790258338452546e+01,4.072855941443399530e+01,-4.550712312375226531e+01
