time_s,Vmem_mV,Goldman_Vmem_mV,NaK-ATPase_Rate_mol/m2s,cell_sodium_mmol/L,cell_potassium_mmol/L,cell_proteins_mmol/L,cell_anion_mmol/L,Dm_sodium_m2/s,Dm_potassium_m2/s,Dm_proteins_m2/s,Dm_anion_m2/s,I_A/m2,HydroP_Pa,OsmoP_Pa,Displacement_um
1.002865329512894104e-03,-4.504319949987997518e+01,0.000000000000000000e+00,1.106875850558614208e-07,1.188454078422594407e+01,1.391099759645488518e+02,1.350000000000000000e+02,1.601047833422036959e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,9.447775673534201911e-13,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.005730659025788207e-03,-4.464017734063306619e+01,0.000000000000000000e+00,1.106894594267918741e-07,1.188467106073597357e+01,1.391099904046175766e+02,1.350000000000000000e+02,1.601048023517537544e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,1.044418094454066226e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.008595988538682094e-03,-4.419193419618773078e+01,0.000000000000000000e+00,1.106915698385213591e-07,1.188481800719848458e+01,1.391100042664986347e+02,1.350000000000000000e+02,1.601048220330934768e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,1.166870658085623468e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.011461318051576415e-03,-4.368811407396611202e+01,0.000000000000000000e+00,1.106939696493674115e-07,1.188498541222762128e+01,1.391100174396891020e+02,1.350000000000000000e+02,1.601048424696613637e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,1.318200818613957916e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.014326647564470302e-03,-4.311477906703436247e+01,0.000000000000000000e+00,1.106967298770948330e-07,1.188517836250599302e+01,1.391100297869743088e+02,1.350000000000000000e+02,1.601048637655312135e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,1.509382355927901932e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.017191977077364189e-03,-4.245227466389853532e+01,0.000000000000000000e+00,1.106999499785146347e-07,1.188540401164333460e+01,1.391100411328328903e+02,1.350000000000000000e+02,1.601048860535222218e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,1.757650060407969277e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.020057306590258075e-03,-4.167176015243639853e+01,0.000000000000000000e+00,1.107037748195830155e-07,1.188567282988291041e+01,1.391100512445209745e+02,1.350000000000000000e+02,1.601049095081864237e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,2.091253525662282496e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.022922636103152830e-03,-4.072880271347543868e+01,0.000000000000000000e+00,1.107084257082260526e-07,1.188600090885383587e+01,1.391100597994978330e+02,1.350000000000000000e+02,1.601049343675074610e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,2.559396477434855574e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.025787965616045849e-03,-3.955057635384751080e+01,0.000000000000000000e+00,1.107142617652230659e-07,1.188641456212009295e+01,1.391100663249561649e+02,1.350000000000000000e+02,1.601049609716131172e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,3.254613322744330879e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.002865329512894060e-02,-3.800768805194150701e+01,0.000000000000000000e+00,1.107219132845250961e-07,1.188696044037483723e+01,1.391100700738787452e+02,1.350000000000000000e+02,1.601049898379318037e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,4.368928516561760532e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.103151862464183536e-02,-3.584408683118544303e+01,0.000000000000000000e+00,1.107326083224606359e-07,1.188773067641169234e+01,1.391100697339053909e+02,1.350000000000000000e+02,1.601050218241646661e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,6.355106906312277249e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.203438395415472838e-02,-3.247436841072966729e+01,0.000000000000000000e+00,1.107491002009401306e-07,1.188893558924080551e+01,1.391100625916390356e+02,1.350000000000000000e+02,1.601050585377906543e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,1.046467702556747629e-11,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.303724928366762313e-02,-2.631984388548939435e+01,0.000000000000000000e+00,1.107786868359799627e-07,1.189114240613192131e+01,1.391100412062544933e+02,1.350000000000000000e+02,1.601051035741690498e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,2.057793858647535531e-11,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.404011461318051615e-02,-1.378805431915020563e+01,0.000000000000000000e+00,1.108393603673440408e-07,1.189566129794484795e+01,1.391099693924264500e+02,1.350000000000000000e+02,1.601051664895298998e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,3.927170915425419312e-11,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.504297994269341091e-02,-9.754501633731210708e-01,0.000000000000000000e+00,1.109133643135521340e-07,1.190061380311930783e+01,1.391095667259053812e+02,1.350000000000000000e+02,1.601052619121794862e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,1.796773586058295235e-11,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.604584527220630566e-02,1.798880526139832181e-01,0.000000000000000000e+00,1.109411924322595566e-07,1.190232544373779611e+01,1.391082758775135062e+02,1.350000000000000000e+02,1.601053757581237491e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-6.050837925670504312e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.704871060171920041e-02,-4.287936836093171777e+00,0.000000000000000000e+00,1.109485065425246865e-07,1.190278654852119722e+01,1.391062424033073341e+02,1.350000000000000000e+02,1.601054843248163451e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-1.363335467439658238e-11,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.805157593123209170e-02,-1.008974308693829869e+01,0.000000000000000000e+00,1.109515102726093972e-07,1.190299611717131789e+01,1.391039864024728274e+02,1.350000000000000000e+02,1.601055793831319818e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-1.433446853814386516e-11,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.905444126074498645e-02,-1.550206193805858845e+01,0.000000000000000000e+00,1.109542475759347567e-07,1.190320174799367337e+01,1.391018709887618741e+02,1.350000000000000000e+02,1.601056607401741516e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-1.246167538989565201e-11,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.005730659025788121e-02,-2.002039373572634418e+01,0.000000000000000000e+00,1.109576903979429281e-07,1.190345970491322092e+01,1.391000189095027508e+02,1.350000000000000000e+02,1.601057307548477837e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-1.017280032911632277e-11,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.106017191977077596e-02,-2.368846542272036970e+01,0.000000000000000000e+00,1.109617481870112928e-07,1.190375850426551452e+01,1.390984264043813141e+02,1.350000000000000000e+02,1.601057919389115369e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-8.269125416713573730e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.206303724928367072e-02,-2.670032805359905836e+01,0.000000000000000000e+00,1.109659907563139907e-07,1.190406693511535963e+01,1.390970561150811875e+02,1.350000000000000000e+02,1.601058462424954598e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-6.864270440824457908e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.306590257879656200e-02,-2.923645563663580660e+01,0.000000000000000000e+00,1.109700320608411894e-07,1.190435871800628398e+01,1.390958705055614928e+02,1.350000000000000000e+02,1.601058950414179094e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-5.851691566359807878e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.406876790830945675e-02,-3.142644403978790635e+01,0.000000000000000000e+00,1.109736440059411592e-07,1.190461891676794615e+01,1.390948386841656372e+02,1.350000000000000000e+02,1.601059392955502858e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-5.104899727406001861e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.507163323782235151e-02,-3.335545221823186779e+01,0.000000000000000000e+00,1.109767361641039881e-07,1.190484197565165658e+01,1.390939360985090900e+02,1.350000000000000000e+02,1.601059796942947955e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-4.529518596623078234e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.607449856733524626e-02,-3.507813551946102848e+01,0.000000000000000000e+00,1.109793065247831426e-07,1.190502821951951695e+01,1.390931431077757736e+02,1.350000000000000000e+02,1.601060167557387715e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-4.064262687442852470e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.707736389684814102e-02,-3.663001054110046084e+01,0.000000000000000000e+00,1.109814004452129328e-07,1.190518105599322851e+01,1.390924437594362928e+02,1.350000000000000000e+02,1.601060508880297917e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-3.671672216640719845e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.808022922636103230e-02,-3.803511653922185332e+01,0.000000000000000000e+00,1.109830832725500349e-07,1.190530514169500087e+01,1.390918249117682137e+02,1.350000000000000000e+02,1.601060824260861892e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-3.329634372814098815e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.908309455587392706e-02,-3.931079260532342801e+01,0.000000000000000000e+00,1.109844240426302543e-07,1.190540530544280529e+01,1.390912756199882665e+02,1.350000000000000000e+02,1.601061116533563933e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-3.025342951750591853e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.008595988538682181e-02,-4.047049831784126184e+01,0.000000000000000000e+00,1.109854868645253293e-07,1.190548598955084358e+01,1.390907866967223754e+02,1.350000000000000000e+02,1.601061388148353259e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-2.751346062919571345e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.108882521489971656e-02,-4.152539343992482657e+01,0.000000000000000000e+00,1.109863272108842514e-07,1.190555101797506410e+01,1.390903503848800256e+02,1.350000000000000000e+02,1.601061641251052237e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-2.503111095345559356e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.209169054441261132e-02,-4.248517683820778501e+01,0.000000000000000000e+00,1.109869910684506452e-07,1.190560355236455159e+01,1.390899601048486431e+02,1.350000000000000000e+02,1.601061877736014338e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-2.277616590616077611e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.309455587392550607e-02,-4.335851169867002852e+01,0.000000000000000000e+00,1.109875155593281501e-07,1.190564614282363287e+01,1.390896102534242118e+02,1.350000000000000000e+02,1.601062099283412365e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-2.072593510497207284e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.409742120343840083e-02,-4.415323626743388985e+01,0.000000000000000000e+00,1.109879301723285737e-07,1.190568081643526988e+01,1.390892960408948511e+02,1.350000000000000000e+02,1.601062307387791250e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-1.886147729241096258e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
