x [um],y [um],Vmem [mV]
6.682105229861348050e+01,1.663963604424040810e+01,-4.368811407396611202e+01
8.494637457959717608e+01,1.605470792227242427e+01,-4.368393823465918757e+01
1.018573322761801876e+02,1.679150068951226515e+01,-4.366480824694701823e+01
5.065700583769645249e+01,2.429762127700793073e+01,-4.370372650878164933e+01
6.761476262156277528e+01,2.341316492874424071e+01,-4.369965634072408278e+01
8.513720858295779692e+01,2.342840625360588547e+01,-4.368823829883805132e+01
1.019161621845423298e+02,2.392970450222340872e+01,-4.366654781751056902e+01
3.443395125464804352e+01,3.519770083710881892e+01,-4.370340393106146593e+01
5.089291201510567220e+01,3.309512408840252107e+01,-4.370797997189675499e+01
6.777305677674863205e+01,3.275883677993162024e+01,-4.369996026745897666e+01
8.469719552553124231e+01,3.290266067860773802e+01,-4.367745903317837985e+01
1.018089869120431956e+02,3.337200183516362273e+01,-4.363949512362100336e+01
3.432494021269459239e+01,4.363111179283308161e+01,-4.370780268554119630e+01
5.068968460226865602e+01,4.262687109657755258e+01,-4.370848299046367202e+01
6.746816064927303103e+01,4.224716867673340914e+01,-4.369175400192570180e+01
8.466945162483069964e+01,4.232852339236139017e+01,-4.364663628881645963e+01
1.020757294758796547e+02,4.269217064575833831e+01,-4.356844303465165069e+01
1.892351116603597205e+01,5.413898200189923671e+01,-4.370005859862916253e+01
3.348991682397861069e+01,5.223417686648575398e+01,-4.371082885767571469e+01
5.083194159156803948e+01,5.237365594693191184e+01,-4.370532965767976918e+01
6.747919066900387008e+01,5.174455500957406429e+01,-4.367434054236607466e+01
8.476362077464597178e+01,5.167373986798401830e+01,-4.358706567457985415e+01
1.021661359183494540e+02,5.203958238955785731e+01,-4.341745817119026896e+01
1.365443292334086038e+02,5.161823209232048981e+01,-4.328521975371418762e+01
1.702637255210505529e+01,6.251981684122786476e+01,-4.370602734602953632e+01
3.364001623340146807e+01,6.150196437105918790e+01,-4.371186926994483457e+01
5.085184499624494947e+01,6.175065087672736297e+01,-4.369962947164427902e+01
6.778656198547544420e+01,6.150932830586801714e+01,-4.364555554200036624e+01
8.464798729068903071e+01,6.104999064992735924e+01,-4.348965838771820103e+01
1.021517851673985433e+02,6.138472392386426435e+01,-4.310143716542194881e+01
1.192726210732057268e+02,6.112926624129148223e+01,-4.267475082691665023e+01
1.365118569865990708e+02,6.088632294329670458e+01,-4.293185494904575705e+01
1.507212196120388796e+02,6.074744484605999162e+01,-4.314402687151151383e+01
1.664254008905086479e+01,7.156854461813298940e+01,-4.370872606189458764e+01
3.349860235086666194e+01,7.051487179362389668e+01,-4.371204478090978540e+01
5.068515948751922906e+01,7.110894902037237841e+01,-4.369263021311919459e+01
6.777993566744552822e+01,7.118038617404917545e+01,-4.361023322898716259e+01
8.485194859983157301e+01,7.058257254781820222e+01,-4.334015679327161052e+01
1.020630427210811888e+02,7.070519391543371057e+01,-4.254051463175306225e+01
1.192914890578334166e+02,7.056945219235883826e+01,-4.123786639409789245e+01
1.363783350910396734e+02,7.052958261534040219e+01,-4.217444767722192722e+01
1.523977221827059338e+02,7.009029404763050763e+01,-4.290360763004792943e+01
1.686370237648046810e+01,7.984311316788800639e+01,-4.370914511289119986e+01
3.368589125565188880e+01,7.991730448179791324e+01,-4.371152858648550676e+01
5.043841485455719464e+01,8.047715596933774407e+01,-4.368618146239143130e+01
6.778072162902903131e+01,8.059596721815434250e+01,-4.357454966935809182e+01
8.504831125506896683e+01,8.008571147352168396e+01,-4.315551727425761186e+01
1.020569867454130133e+02,8.015979594568273114e+01,-4.167365816692078084e+01
1.190994166470175486e+02,7.997642244277805901e+01,-3.656813840092957690e+01
1.363392187019897790e+02,7.995811335760571126e+01,-4.088980915790145332e+01
1.533026119134449630e+02,7.958662405415468299e+01,-4.264015892312420419e+01
1.742132535579710151e+01,8.972300397730712973e+01,-4.371336555038234195e+01
3.373659575734660621e+01,8.959111837850034021e+01,-4.371096140464945279e+01
5.057968110868013412e+01,8.981805385780894824e+01,-4.368083049503333370e+01
6.771820579291427578e+01,8.992355272285257684e+01,-4.354964619640567491e+01
8.503505450297065238e+01,8.954729885286570834e+01,-4.300053759186788938e+01
1.019327113376135969e+02,8.975111801171179593e+01,-4.057832633837470127e+01
1.188054171821561766e+02,8.944598673988308235e+01,-3.376316271813541903e+01
1.361857948082036955e+02,8.927714187902287790e+01,-3.973478199431379920e+01
1.527452228106350560e+02,8.924721648434311305e+01,-4.237974059655784487e+01
1.605777338275559529e+01,9.718660310465182306e+01,-4.371197218094695813e+01
3.357834322286902307e+01,9.918797865327579188e+01,-4.371037992442403919e+01
5.056783600528432743e+01,9.925971113765383791e+01,-4.367954605950504288e+01
